station_name,county,latitude,longitude,nominal_depth,organic_matter,sand,silt,clay,textural_class,bulk_density,particle_density,porosity,field_capacity,wilting_point
Manhattan,Riley,39.20856,-96.59169,5,3.3,11,60,29,silty clay loam,1.31,2.79,53.1,39.5,16.8
Manhattan,Riley,39.20856,-96.59169,10,2.8,9,58,33,silty clay loam,1.36,2.61,47.9,36.8,18.1
Manhattan,Riley,39.20856,-96.59169,20,2.9,9,58,33,silty clay loam,1.39,2.59,46.4,36.9,18.2
Manhattan,Riley,39.20856,-96.59169,50,2.3,6,56,39,silty clay loam,1.47,2.63,44.2,41.0,23.7
Ashland Bottoms,Riley,39.12584,-96.63643,5,3.2,9,58,33,silty clay loam,1.29,2.54,49.4,37.7,14.9
Ashland Bottoms,Riley,39.12584,-96.63643,10,2.7,5,58,37,silty clay loam,1.34,2.53,46.9,37.2,17.3
Ashland Bottoms,Riley,39.12584,-96.63643,20,2.6,3,47,51,silty clay ,1.29,2.54,49.3,39.8,22.5
Ashland Bottoms,Riley,39.12584,-96.63643,50,2.2,3,53,44,silty clay ,1.35,2.68,49.7,38.3,21.1
Clay Center,Clay,39.41722,-97.13926,5,4.8,12,45,43,silty clay ,1.34,2.52,46.8,40.5,10.7
Clay Center,Clay,39.41722,-97.13926,10,3.2,9,65,25,silt loam,1.42,2.62,45.8,40.4,12.2
Clay Center,Clay,39.41722,-97.13926,20,3.0,9,64,27,silt loam,1.34,2.54,47.2,38.5,10.9
Clay Center,Clay,39.41722,-97.13926,50,2.2,6,58,36,silty clay loam,1.22,2.57,52.7,32.4,16.0
Washington,Washington,39.7812,-97.05978,5,3.3,24,45,31,clay loam,1.35,2.47,45.2,36.4,14.7
Washington,Washington,39.7812,-97.05978,10,2.8,25,45,29,clay loam,1.45,2.64,45.1,35.2,15.3
Washington,Washington,39.7812,-97.05978,20,2.4,21,44,35,clay loam,1.39,2.67,48.2,35.1,16.4
Washington,Washington,39.7812,-97.05978,50,1.5,21,43,36,clay loam,1.44,2.67,46.0,34.2,18.6
Belleville 2W,Republic,39.814,-97.6751,5,4.7,12,67,22,silt loam,1.12,2.50,55.1,43.4,14.4
Belleville 2W,Republic,39.814,-97.6751,10,3.6,11,61,28,silty clay loam,1.24,2.62,52.5,40.3,16.9
Belleville 2W,Republic,39.814,-97.6751,20,3.3,10,60,29,silty clay loam,1.23,2.57,52.3,42.2,16.8
Belleville 2W,Republic,39.814,-97.6751,50,2.7,7,48,45,silty clay ,1.08,2.62,58.9,56.8,21.2
Osborne,Osborne,39.45441,-98.70357,5,3.6,14,62,24,silt loam,1.09,2.68,59.2,37.1,12.6
Osborne,Osborne,39.45441,-98.70357,10,3.0,11,57,32,silty clay loam,1.06,2.54,58.1,36.6,15.9
Osborne,Osborne,39.45441,-98.70357,20,2.6,8,56,36,silty clay loam,1.06,2.56,58.8,38.2,17.0
Osborne,Osborne,39.45441,-98.70357,50,1.8,8,56,36,silty clay loam,1.16,2.54,54.3,43.8,17.9
Mitchell,Mitchell,39.43725,-98.21011,5,4.2,8,52,40,silty clay loam,1.01,2.46,59.2,43.7,16.0
Mitchell,Mitchell,39.43725,-98.21011,10,3.3,10,62,28,silty clay loam,1.33,2.60,48.7,44.0,20.8
Mitchell,Mitchell,39.43725,-98.21011,20,3.3,6,64,29,silty clay loam,1.17,2.54,54.0,44.2,20.1
Mitchell,Mitchell,39.43725,-98.21011,50,2.1,4,60,36,silty clay loam,1.19,2.68,55.7,44.5,23.2
Gypsum,Saline,38.72509,-97.44423,5,2.5,5,63,32,silty clay loam,1.36,2.55,46.8,37.1,18.6
Gypsum,Saline,38.72509,-97.44423,10,3.0,9,62,29,silty clay loam,1.48,2.62,43.5,37.2,20.5
Gypsum,Saline,38.72509,-97.44423,20,2.6,8,64,28,silty clay loam,1.42,2.60,45.4,39.8,18.3
Gypsum,Saline,38.72509,-97.44423,50,2.8,8,61,31,silty clay loam,1.39,2.63,47.0,42.0,18.9
McPherson 1S,McPherson,38.34498,-97.66317,5,2.5,3,64,33,silty clay loam,1.38,2.63,47.4,37.9,20.8
McPherson 1S,McPherson,38.34498,-97.66317,10,2.2,5,59,36,silty clay loam,1.37,2.69,49.0,37.2,21.6
McPherson 1S,McPherson,38.34498,-97.66317,20,2.1,4,52,44,silty clay,1.39,2.57,45.9,45.1,21.6
McPherson 1S,McPherson,38.34498,-97.66317,50,1.5,2,52,46,silty clay,1.45,2.70,46.4,42.4,27.5
Lorraine,Ellsworth,38.55793,-98.3522,5,3.3,11,60,29,silty clay loam,1.35,2.61,48.2,44.4,15.8
Lorraine,Ellsworth,38.55793,-98.3522,10,2.7,10,44,46,silty clay,1.47,2.66,44.8,36.6,26.9
Lorraine,Ellsworth,38.55793,-98.3522,20,2.3,7,55,38,silty clay loam,1.45,2.67,45.7,39.5,21.1
Lorraine,Ellsworth,38.55793,-98.3522,50,1.9,12,56,32,silty clay loam,1.55,2.73,43.4,47.8,19.9
Overbrook,Osage,38.71658,-95.51626,5,7.4,6,55,40,silty clay,1.00,2.62,61.8,42.4,15.6
Overbrook,Osage,38.71658,-95.51626,10,4.3,1,57,42,silty clay,1.20,2.62,54.3,38.0,17.8
Overbrook,Osage,38.71658,-95.51626,20,4.6,3,55,41,silty clay,1.18,2.62,55.2,40.3,19.0
Overbrook,Osage,38.71658,-95.51626,50,2.4,1,39,60,clay ,1.34,2.67,49.9,41.8,23.1
Ottawa 2SE,Franklin,38.54279,-95.24662,5,5.0,8,62,30,silty clay loam,1.17,2.54,54.1,46.9,13.1
Ottawa 2SE,Franklin,38.54279,-95.24662,10,4.1,8,63,30,silty clay loam,1.35,2.56,47.1,44.2,16.3
Ottawa 2SE,Franklin,38.54279,-95.24662,20,3.7,6,64,30,silty clay loam,1.27,2.60,51.3,39.2,14.7
Ottawa 2SE,Franklin,38.54279,-95.24662,50,3.0,1,45,54,silty clay ,1.30,2.61,49.9,44.0,28.2
Miami,Miami,38.59214,-94.84789,5,7.4,6,64,30,silty clay loam,1.02,2.59,60.6,47.8,17.5
Miami,Miami,38.59214,-94.84789,10,5.3,5,62,34,silty clay loam,1.24,2.62,52.5,40.5,19.7
Miami,Miami,38.59214,-94.84789,20,4.6,3,54,43,silty clay ,1.29,2.57,49.6,39.7,23.6
Miami,Miami,38.59214,-94.84789,50,3.1,5,39,56,clay,1.34,2.62,48.8,47.7,32.7
Butler,Butler,37.80241,-96.88329,5,5.6,14,58,28,silty clay loam,1.17,2.59,54.8,47.9,18.3
Butler,Butler,37.80241,-96.88329,10,5.0,14,59,27,silty clay loam,1.22,2.50,51.0,47.4,19.8
Butler,Butler,37.80241,-96.88329,20,4.5,11,54,35,silty clay loam,1.20,2.52,52.3,44.6,21.2
Butler,Butler,37.80241,-96.88329,50,3.0,10,38,52,clay,1.35,2.66,49.3,46.5,32.5
Viola,Sumner,37.45974,-97.6245,5,2.7,18,63,19,silt loam,1.36,2.62,48.0,39.3,11.8
Viola,Sumner,37.45974,-97.6245,10,2.1,16,65,19,silt loam,1.44,2.62,45.2,35.9,12.6
Viola,Sumner,37.45974,-97.6245,20,2.1,17,59,24,silt loam,1.47,2.65,44.5,36.3,17.5
Viola,Sumner,37.45974,-97.6245,50,1.8,10,44,47,silty clay,1.46,2.72,46.2,43.1,30.5
Harper,Harper,37.06477,-98.08467,5,3.1,16,72,11,silt loam,1.37,2.62,47.6,42.2,9.6
Harper,Harper,37.06477,-98.08467,10,2.6,21,63,16,silt loam,1.26,2.76,54.5,35.5,9.9
Harper,Harper,37.06477,-98.08467,20,2.6,16,65,19,silt loam,1.29,2.67,51.7,35.5,10.3
Harper,Harper,37.06477,-98.08467,50,1.5,17,60,23,silt loam,1.60,2.68,40.1,39.2,13.4
Lake City,Barber,37.30903,-98.79332,5,1.8,62,26,13,sandy loam,1.62,2.70,40.1,29.0,8.1
Lake City,Barber,37.30903,-98.79332,10,1.5,65,23,11,sandy loam,1.75,2.62,33.3,28.3,9.3
Lake City,Barber,37.30903,-98.79332,20,1.4,67,21,13,sandy loam,1.79,2.69,33.4,26.4,9.4
Lake City,Barber,37.30903,-98.79332,50,0.9,72,15,13,sandy loam,1.86,2.74,32.1,24.3,8.3
Ashland 8S,Clark,37.06488,-99.75115,5,3.3,31,37,32,clay loam,1.48,2.75,46.3,43.3,24.6
Ashland 8S,Clark,37.06488,-99.75115,10,2.8,28,38,33,clay loam,1.50,2.77,45.8,41.5,23.2
Ashland 8S,Clark,37.06488,-99.75115,20,1.7,23,41,36,clay loam,1.44,2.63,45.2,42.7,22.7
Ashland 8S,Clark,37.06488,-99.75115,50,0.3,75,19,6,sandy loam,1.51,2.71,44.2,37.1,2.9
Meade,Meade,37.13479,-100.39568,5,2.0,53,35,13,sandy loam,1.55,2.68,42.2,38.5,10.6
Meade,Meade,37.13479,-100.39568,10,1.4,57,32,11,sandy loam,1.61,2.69,40.1,36.2,8.9
Meade,Meade,37.13479,-100.39568,20,1.2,63,25,13,sandy loam,1.55,2.62,40.8,34.2,9.1
Meade,Meade,37.13479,-100.39568,50,1.2,48,27,25,sandy clay loam,1.44,2.63,45.2,39.1,15.5
Satanta,Seward,37.30529,-100.88714,5,2.0,22,43,35,clay loam,1.21,2.67,54.5,40.6,17.1
Satanta,Seward,37.30529,-100.88714,10,2.1,35,41,24,loam,1.45,2.72,46.5,40.4,16.4
Satanta,Seward,37.30529,-100.88714,20,1.7,34,38,28,clay loam,1.48,2.66,44.3,36.9,17.7
Satanta,Seward,37.30529,-100.88714,50,2.1,23,45,32,clay loam,1.57,2.68,41.3,37.5,22.4
Richfield,Morton,37.25868,-101.79224,5,3.0,21,49,29,clay loam,1.48,2.64,44.0,41.2,21.1
Richfield,Morton,37.25868,-101.79224,10,2.3,24,46,30,clay loam,,2.61,,,
Richfield,Morton,37.25868,-101.79224,20,2.0,25,43,33,clay loam,,2.64,,,
Richfield,Morton,37.25868,-101.79224,50,1.7,26,35,39,clay loam,,2.70,,,
Moscow 10NW,Stevens,37.37295,-101.37653,5,2.4,33,41,25,loam,1.41,2.68,47.3,39.2,17.4
Moscow 10NW,Stevens,37.37295,-101.37653,10,1.6,35,39,27,loam,1.52,2.72,44.2,36.4,18.9
Moscow 10NW,Stevens,37.37295,-101.37653,20,1.3,39,36,25,loam,1.54,2.70,42.9,35.6,16.6
Moscow 10NW,Stevens,37.37295,-101.37653,50,1.2,16,54,31,silty clay loam,1.22,2.61,53.1,41.2,18.3
Lakin,Kearny,37.89368,-101.23321,5,1.5,64,21,15,sandy loam,1.63,2.65,38.4,28.7,10.0
Lakin,Kearny,37.89368,-101.23321,10,1.0,66,21,13,sandy loam,1.78,2.69,33.9,25.1,9.2
Lakin,Kearny,37.89368,-101.23321,20,1.2,65,17,18,sandy loam,1.71,2.75,38.0,26.9,9.2
Lakin,Kearny,37.89368,-101.23321,50,0.8,79,11,10,sandy loam,1.69,2.68,36.8,21.8,7.7
Garden City,Finney,37.99854,-100.81519,5,2.9,26,51,23,silt loam,1.33,2.66,50.1,43.1,19.1
Garden City,Finney,37.99854,-100.81519,10,2.4,26,50,24,loam,1.35,2.64,48.9,42.8,16.1
Garden City,Finney,37.99854,-100.81519,20,2.1,26,50,24,silt loam,1.25,2.23,43.7,39.6,17.4
